EVT  20080511, 013712.337228,   -3.895,   -8.827,     8.37,    35.16,    79.44,    0.000,     0.00,     2.08
EVT  20080513, 065508.767967,    5.090,  -14.322,     7.79,    26.80,   108.50,    0.000,     0.00,     1.69
EVT  20080513, 031626.285958,    6.231,  -12.469,    18.55,    33.65,   261.45,    0.000,     0.00,     5.52
EVT  20080515, 100403.244938,    4.203,   12.514,    12.38,    17.19,   329.60,    0.000,     0.00,     2.55
EVT  20080515, 194941.768350,    6.884,    1.218,    17.49,    32.52,   200.19,    0.000,     0.00,     4.99
EVT  20080517, 104434.284999,   -1.607,   -6.566,    15.36,    33.04,     9.74,    0.000,     0.00,     4.34
EVT  20080517, 120226.232975,   -9.376,   -7.297,    26.75,    11.16,    70.45,    0.000,     0.00,     6.95
EVT  20080515, 133944.771340,  -11.211,   -3.415,    19.20,    15.30,    48.55,    0.000,     0.00,     4.37
EVT  20080517, 072054.805936,   -6.297,   -6.264,     8.16,    39.26,    24.19,    0.000,     0.00,     2.35
EVT  20080516, 025043.228344,   -4.360,    6.593,    86.25,    20.38,   306.50,    0.000,     0.00,    25.87
EVT  20080514, 114653.497536,   -2.885,   -3.939,     7.93,    35.35,   181.80,    0.000,     0.00,     1.95
EVT  20080517, 224314.510515,   -8.453,  -15.223,     6.98,    42.00,   119.34,    0.000,     0.00,     2.22
EVT  20080511, 212237.988407,    2.793,   -9.668,    14.44,    31.52,   290.91,    0.000,     0.00,     3.87
EVT  20080513, 224530.213711,   10.060,   -6.069,     9.25,    23.91,   312.86,    0.000,     0.00,     1.91
EVT  20080513, 055917.532110,    8.745,   -4.637,    15.12,    31.86,   235.63,    0.000,     0.00,     4.12
EVT  20080511, 161823.368872,   -7.414,   -2.583,    20.44,    30.25,   317.52,    0.000,     0.00,     5.82
EVT  20080512, 101515.731011,   11.192,   -0.671,     6.48,    40.33,    87.82,    0.000,     0.00,     1.93
EVT  20080512, 040953.894141,   12.725,   -7.783,    21.13,    30.00,    93.28,    0.000,     0.00,     6.05
EVT  20080516, 230144.657173,   10.337,    1.409,    29.37,    40.41,    73.90,    0.000,     0.00,    11.07
EVT  20080517, 214230.438084,   -2.760,   -0.593,    19.19,    14.97,   285.44,    0.000,     0.00,     4.36
EVT  20080511, 055830.170506,    4.201,  -12.174,     5.00,    44.23,    14.74,    0.000,     0.00,     1.76
EVT  20080511, 004203.263384,    1.928,    7.906,    16.17,    37.04,   309.35,    0.000,     0.00,     5.34
EVT  20080512, 175901.084167,    2.233,    8.146,    11.52,    34.79,   331.51,    0.000,     0.00,     3.11
EVT  20080517, 145331.413852,   -6.864,    0.156,     4.68,    44.13,    74.47,    0.000,     0.00,     1.64
EVT  20080512, 114914.294166,   -3.294,   -7.160,     5.35,    11.46,   336.21,    0.000,     0.00,     1.22
EVT  20080512, 053842.568264,   -4.110,   -5.196,    14.26,    14.19,   155.81,    0.000,     0.00,     2.93
EVT  20080513, 035739.898180,    7.486,   -9.951,    14.73,    13.80,   324.99,    0.000,     0.00,     3.05
EVT  20080512, 201126.681158,    6.436,   10.874,     4.83,    18.72,   298.72,    0.000,     0.00,     1.13
EVT  20080512, 014918.463833,   -1.617,  -13.459,    16.09,    38.31,   282.11,    0.000,     0.00,     5.54
EVT  20080513, 022807.211194,   -7.906,  -14.886,    23.83,    39.01,   133.76,    0.000,     0.00,     8.36
EVT  20080513, 122200.835767,    4.227,    6.912,    20.96,    40.16,   110.04,    0.000,     0.00,     7.79
EVT  20080517, 234253.337580,    2.802,   12.166,    20.11,    40.24,   243.29,    0.000,     0.00,     7.62
EVT  20080512, 001026.817969,   -9.551,  -11.478,    26.38,    39.37,   315.52,    0.000,     0.00,     9.53
EVT  20080515, 154858.377769,    6.909,  -11.218,     9.10,    31.53,   172.33,    0.000,     0.00,     2.10
EVT  20080514, 182533.550605,  -11.705,  -10.901,     5.78,    22.29,   351.35,    0.000,     0.00,     1.28
EVT  20080517, 125147.894798,    2.364,   10.180,     6.53,    38.56,    90.12,    0.000,     0.00,     1.76
EVT  20080511, 091655.343938,    0.976,    5.471,    10.38,    23.90,   261.88,    0.000,     0.00,     2.19
EVT  20080512, 033347.848055,   10.348,   -7.435,    18.76,    23.91,    41.02,    0.000,     0.00,     4.83
EVT  20080514, 061608.282947,   -5.511,  -11.969,     4.28,    31.51,   158.92,    0.000,     0.00,     1.05
EVT  20080517, 180533.426897,   -4.884,   -7.534,    71.68,    17.35,   269.73,    0.000,     0.00,    21.09
EVT  20080511, 074144.362290,   -7.692,   -7.843,     6.72,    39.92,    11.29,    0.000,     0.00,     1.89
EVT  20080513, 195956.228737,    3.688,   -9.665,    46.36,    36.09,   104.08,    0.000,     0.00,    15.59
EVT  20080516, 100140.484584,    6.282,   -9.503,     5.29,    25.87,   174.56,    0.000,     0.00,     1.25
EVT  20080511, 105016.826449,    4.137,    9.701,     6.80,    41.36,   251.18,    0.000,     0.00,     2.15
EVT  20080511, 095155.244235,   -6.964,   -3.584,    26.22,    32.04,    75.03,    0.000,     0.00,     7.91
